Inbound delivery created this many days after shipment,PO issued on date,Delivery entered by supplier on,PO-line-Conf type,PO-line-Conf type,Vendor,vendor name,Plant,PO Document Date,PO Document,PO Item,Confirmation Number,Confirmation Category,Created by,Purchasing Group,Responsible buyer,Delivery Created by,Created on,Lead Time Code,Confirmed Delivery Date
2,1/2/2020,01/30/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,1,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,01/30/2020,F2807,02/25/2020
3,1/2/2020,02/01/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,2,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/01/2020,F2807,02/26/2020
3,1/2/2020,02/01/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,3,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/01/2020,F2807,02/26/2020
1,1/2/2020,02/14/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,4,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/14/2020,F2807,03/12/2020
1,1/2/2020,02/14/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,5,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/14/2020,F2807,03/12/2020
1,1/2/2020,02/14/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,6,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/14/2020,F2807,03/12/2020
0,1/2/2020,02/18/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,7,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/18/2020,F2807,03/17/2020
0,1/2/2020,02/18/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,8,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/18/2020,F2807,03/17/2020
0,1/2/2020,02/18/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,9,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/18/2020,F2807,03/17/2020
0,1/2/2020,02/18/2020,45101804101LALR9,45101804101LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,10,LA,220041177,531,Zhiqiang Zhou,GELPI_PROXY,02/18/2020,F2807,03/17/2020
PO conf,1/2/2020,PO conf,45101804101ABLR9,45101804101AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,11,AB,220041177,531,Zhiqiang Zhou,#,02/18/2020,F2807,02/25/2020
PO conf,1/2/2020,PO conf,45101804101ABLR9,45101804101AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,12,AB,220041177,531,Zhiqiang Zhou,#,02/18/2020,F2807,02/26/2020
PO conf,1/2/2020,PO conf,45101804101ABLR9,45101804101AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,13,AB,220041177,531,Zhiqiang Zhou,#,02/18/2020,F2807,03/12/2020
PO conf,1/2/2020,PO conf,45101804101ABLR9,45101804101AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180410,1,14,AB,220041177,531,Zhiqiang Zhou,#,02/18/2020,F2807,03/17/2020
